[7] (0.9180327868852459 56)
[9] (0.9016393442622951 55)
[29] (0.9836065573770492 60)
[34] (0.9344262295081968 57)
[36] (0.9836065573770492 60)
[40] (0.9836065573770492 60)
[48] (0.9508196721311475 58)
[52] (1.0 61)
[56] (0.9180327868852459 56)
[58] (1.0 61)
[60] (0.9508196721311475 58)
[62] (0.9672131147540983 59)
[66] (0.9016393442622951 55)
[34, 36] (0.9180327868852459 56)
[36, 48] (0.9508196721311475 58)
[40, 52] (0.9836065573770492 60)
[29, 36] (0.9672131147540983 59)
[36, 58] (0.9836065573770492 60)
[58, 60] (0.9508196721311475 58)
[36, 40] (0.9672131147540983 59)
[52, 58] (1.0 61)
[7, 58] (0.9180327868852459 56)
[29, 58] (0.9836065573770492 60)
[60, 62] (0.9180327868852459 56)
[34, 60] (0.9016393442622951 55)
[29, 48] (0.9344262295081968 57)
[48, 62] (0.9180327868852459 56)
[36, 60] (0.9344262295081968 57)
[29, 60] (0.9508196721311475 58)
[48, 52] (0.9508196721311475 58)
[40, 60] (0.9344262295081968 57)
[56, 58] (0.9180327868852459 56)
[29, 40] (0.9672131147540983 59)
[34, 40] (0.9180327868852459 56)
[40, 56] (0.9016393442622951 55)
[7, 40] (0.9016393442622951 55)
[34, 58] (0.9344262295081968 57)
[52, 60] (0.9508196721311475 58)
[9, 52] (0.9016393442622951 55)
[52, 66] (0.9016393442622951 55)
[7, 36] (0.9016393442622951 55)
[52, 56] (0.9180327868852459 56)
[58, 62] (0.9672131147540983 59)
[60, 66] (0.9016393442622951 55)
[36, 52] (0.9836065573770492 60)
[29, 34] (0.9344262295081968 57)
[36, 56] (0.9016393442622951 55)
[40, 62] (0.9508196721311475 58)
[29, 62] (0.9508196721311475 58)
[34, 62] (0.9016393442622951 55)
[40, 48] (0.9344262295081968 57)
[40, 58] (0.9836065573770492 60)
[9, 58] (0.9016393442622951 55)
[29, 56] (0.9016393442622951 55)
[48, 60] (0.9180327868852459 56)
[36, 62] (0.9508196721311475 58)
[29, 66] (0.9016393442622951 55)
[58, 66] (0.9016393442622951 55)
[48, 58] (0.9508196721311475 58)
[52, 62] (0.9672131147540983 59)
[29, 52] (0.9836065573770492 60)
[34, 52] (0.9344262295081968 57)
[7, 29] (0.9180327868852459 56)
[7, 52] (0.9180327868852459 56)
[36, 48, 62] (0.9180327868852459 56)
[34, 52, 58] (0.9344262295081968 57)
[34, 36, 58] (0.9180327868852459 56)
[29, 48, 58] (0.9344262295081968 57)
[29, 52, 56] (0.9016393442622951 55)
[34, 40, 58] (0.9180327868852459 56)
[29, 52, 66] (0.9016393442622951 55)
[36, 52, 58] (0.9836065573770492 60)
[29, 40, 48] (0.9180327868852459 56)
[29, 40, 58] (0.9672131147540983 59)
[34, 58, 60] (0.9016393442622951 55)
[7, 36, 58] (0.9016393442622951 55)
[29, 58, 66] (0.9016393442622951 55)
[7, 29, 36] (0.9016393442622951 55)
[29, 40, 60] (0.9344262295081968 57)
[40, 48, 60] (0.9016393442622951 55)
[29, 34, 58] (0.9344262295081968 57)
[36, 40, 58] (0.9672131147540983 59)
[36, 48, 60] (0.9180327868852459 56)
[40, 48, 52] (0.9344262295081968 57)
[29, 36, 48] (0.9344262295081968 57)
[9, 52, 58] (0.9016393442622951 55)
[52, 56, 58] (0.9180327868852459 56)
[29, 36, 58] (0.9672131147540983 59)
[7, 40, 58] (0.9016393442622951 55)
[36, 52, 56] (0.9016393442622951 55)
[34, 58, 62] (0.9016393442622951 55)
[29, 36, 60] (0.9344262295081968 57)
[40, 48, 62] (0.9016393442622951 55)
[40, 56, 58] (0.9016393442622951 55)
[36, 58, 60] (0.9344262295081968 57)
[36, 40, 52] (0.9672131147540983 59)
[52, 60, 66] (0.9016393442622951 55)
[36, 60, 62] (0.9016393442622951 55)
[29, 40, 62] (0.9344262295081968 57)
[40, 48, 58] (0.9344262295081968 57)
[29, 52, 62] (0.9508196721311475 58)
[29, 34, 52] (0.9344262295081968 57)
[34, 36, 40] (0.9016393442622951 55)
[34, 40, 52] (0.9180327868852459 56)
[29, 34, 40] (0.9180327868852459 56)
[40, 52, 58] (0.9836065573770492 60)
[48, 52, 58] (0.9508196721311475 58)
[7, 52, 58] (0.9180327868852459 56)
[29, 34, 36] (0.9180327868852459 56)
[40, 52, 56] (0.9016393442622951 55)
[7, 36, 52] (0.9016393442622951 55)
[7, 29, 58] (0.9180327868852459 56)
[48, 58, 60] (0.9180327868852459 56)
[29, 60, 62] (0.9180327868852459 56)
[52, 58, 62] (0.9672131147540983 59)
[52, 58, 60] (0.9508196721311475 58)
[40, 52, 60] (0.9344262295081968 57)
[29, 34, 60] (0.9016393442622951 55)
[29, 36, 52] (0.9672131147540983 59)
[48, 58, 62] (0.9180327868852459 56)
[36, 40, 60] (0.9180327868852459 56)
[29, 52, 60] (0.9508196721311475 58)
[36, 52, 60] (0.9344262295081968 57)
[34, 36, 52] (0.9180327868852459 56)
[36, 48, 58] (0.9508196721311475 58)
[7, 29, 40] (0.9016393442622951 55)
[58, 60, 62] (0.9180327868852459 56)
[29, 34, 62] (0.9016393442622951 55)
[29, 40, 52] (0.9672131147540983 59)
[36, 52, 62] (0.9508196721311475 58)
[29, 48, 62] (0.9016393442622951 55)
[36, 40, 62] (0.9344262295081968 57)
[29, 36, 40] (0.9508196721311475 58)
[29, 48, 52] (0.9344262295081968 57)
[7, 29, 52] (0.9180327868852459 56)
