[5] (0.9246575342465754 135)
[7] (0.958904109589041 140)
[29] (0.9931506849315068 145)
[34] (0.9452054794520548 138)
[36] (0.9794520547945206 143)
[40] (0.9931506849315068 145)
[48] (0.9452054794520548 138)
[52] (0.9931506849315068 145)
[58] (1.0 146)
[60] (0.9863013698630136 144)
[62] (0.958904109589041 140)
[66] (0.9657534246575342 141)
[5, 29] (0.9178082191780822 134)
[34, 36] (0.9246575342465754 135)
[7, 66] (0.9246575342465754 135)
[5, 52] (0.9178082191780822 134)
[36, 48] (0.9452054794520548 138)
[7, 34] (0.910958904109589 133)
[40, 52] (0.9863013698630136 144)
[29, 36] (0.9726027397260274 142)
[7, 62] (0.9178082191780822 134)
[7, 48] (0.9041095890410958 132)
[36, 58] (0.9794520547945206 143)
[62, 66] (0.9315068493150684 136)
[58, 60] (0.9863013698630136 144)
[36, 40] (0.9726027397260274 142)
[5, 36] (0.9041095890410958 132)
[52, 58] (0.9931506849315068 145)
[7, 58] (0.958904109589041 140)
[29, 58] (0.9931506849315068 145)
[60, 62] (0.952054794520548 139)
[48, 66] (0.9178082191780822 134)
[34, 60] (0.9315068493150684 136)
[5, 66] (0.9041095890410958 132)
[29, 48] (0.9383561643835616 137)
[48, 62] (0.9041095890410958 132)
[36, 60] (0.9657534246575342 141)
[29, 60] (0.9794520547945206 143)
[48, 52] (0.9383561643835616 137)
[40, 60] (0.9863013698630136 144)
[29, 40] (0.9863013698630136 144)
[34, 40] (0.9383561643835616 137)
[7, 40] (0.952054794520548 139)
[34, 58] (0.9452054794520548 138)
[5, 60] (0.910958904109589 133)
[52, 60] (0.9794520547945206 143)
[52, 66] (0.958904109589041 140)
[7, 36] (0.9383561643835616 137)
[58, 62] (0.958904109589041 140)
[5, 40] (0.9178082191780822 134)
[5, 58] (0.9246575342465754 135)
[36, 66] (0.9452054794520548 138)
[60, 66] (0.9657534246575342 141)
[36, 52] (0.9726027397260274 142)
[29, 34] (0.9383561643835616 137)
[7, 60] (0.9452054794520548 138)
[34, 66] (0.910958904109589 133)
[40, 62] (0.958904109589041 140)
[29, 62] (0.952054794520548 139)
[34, 62] (0.9041095890410958 132)
[40, 66] (0.9657534246575342 141)
[40, 48] (0.9383561643835616 137)
[40, 58] (0.9931506849315068 145)
[48, 60] (0.9383561643835616 137)
[29, 66] (0.958904109589041 140)
[36, 62] (0.9383561643835616 137)
[58, 66] (0.9657534246575342 141)
[48, 58] (0.9452054794520548 138)
[52, 62] (0.952054794520548 139)
[29, 52] (0.9863013698630136 144)
[34, 52] (0.9383561643835616 137)
[7, 29] (0.958904109589041 140)
[7, 52] (0.952054794520548 139)
[36, 48, 62] (0.9041095890410958 132)
[48, 60, 66] (0.9178082191780822 134)
[7, 58, 60] (0.9452054794520548 138)
[29, 34, 66] (0.9041095890410958 132)
[34, 52, 58] (0.9383561643835616 137)
[58, 62, 66] (0.9315068493150684 136)
[34, 36, 58] (0.9246575342465754 135)
[7, 48, 58] (0.9041095890410958 132)
[29, 48, 58] (0.9383561643835616 137)
[5, 40, 58] (0.9178082191780822 134)
[34, 40, 58] (0.9383561643835616 137)
[40, 60, 66] (0.9657534246575342 141)
[29, 52, 66] (0.952054794520548 139)
[7, 52, 62] (0.910958904109589 133)
[36, 52, 58] (0.9726027397260274 142)
[29, 40, 48] (0.9315068493150684 136)
[34, 60, 66] (0.910958904109589 133)
[29, 40, 58] (0.9863013698630136 144)
[5, 52, 60] (0.9041095890410958 132)
[7, 36, 58] (0.9383561643835616 137)
[34, 58, 60] (0.9315068493150684 136)
[36, 62, 66] (0.910958904109589 133)
[7, 29, 66] (0.9246575342465754 135)
[29, 58, 66] (0.958904109589041 140)
[7, 36, 40] (0.9315068493150684 136)
[5, 29, 52] (0.910958904109589 133)
[7, 29, 36] (0.9383561643835616 137)
[29, 40, 60] (0.9794520547945206 143)
[40, 48, 60] (0.9383561643835616 137)
[36, 40, 58] (0.9726027397260274 142)
[29, 34, 58] (0.9383561643835616 137)
[36, 48, 60] (0.9383561643835616 137)
[5, 36, 58] (0.9041095890410958 132)
[40, 48, 52] (0.9315068493150684 136)
[29, 36, 48] (0.9383561643835616 137)
[29, 36, 58] (0.9726027397260274 142)
[7, 40, 58] (0.952054794520548 139)
[7, 29, 34] (0.910958904109589 133)
[7, 52, 66] (0.9178082191780822 134)
[5, 29, 60] (0.9041095890410958 132)
[34, 58, 62] (0.9041095890410958 132)
[7, 29, 48] (0.9041095890410958 132)
[7, 34, 52] (0.9041095890410958 132)
[5, 29, 40] (0.910958904109589 133)
[29, 36, 60] (0.958904109589041 140)
[40, 52, 66] (0.958904109589041 140)
[40, 48, 62] (0.9041095890410958 132)
[48, 60, 62] (0.9041095890410958 132)
[5, 58, 66] (0.9041095890410958 132)
[36, 58, 60] (0.9657534246575342 141)
[36, 40, 52] (0.9657534246575342 141)
[36, 40, 66] (0.9452054794520548 138)
[52, 60, 66] (0.958904109589041 140)
[36, 60, 62] (0.9315068493150684 136)
[29, 40, 62] (0.952054794520548 139)
[40, 48, 58] (0.9383561643835616 137)
[29, 52, 62] (0.9452054794520548 138)
[29, 34, 52] (0.9315068493150684 136)
[34, 36, 40] (0.9178082191780822 134)
[34, 40, 52] (0.9315068493150684 136)
[34, 36, 60] (0.910958904109589 133)
