[170] (0.9889624724061811 448)
[180] (0.9889624724061811 448)
[184] (0.9889624724061811 448)
[188] (0.9580573951434879 434)
[4426] (0.977924944812362 443)
[4428] (0.9889624724061811 448)
[4430] (0.9668874172185431 438)
[4432] (0.9624724061810155 436)
[4434] (0.9690949227373068 439)
[4436] (0.9536423841059603 432)
[4438] (1.0 453)
[4940] (0.9801324503311258 444)
[7062] (0.9911699779249448 449)
[7092] (0.9690949227373068 439)
[188, 7062] (0.9514348785871964 431)
[184, 4434] (0.9580573951434879 434)
[4940, 7062] (0.9713024282560706 440)
[184, 4940] (0.9690949227373068 439)
[4432, 4438] (0.9624724061810155 436)
[184, 4430] (0.9558498896247241 433)
[170, 4426] (0.9668874172185431 438)
[4432, 7062] (0.9536423841059603 432)
[4426, 4940] (0.9580573951434879 434)
[180, 7092] (0.9602649006622517 435)
[180, 184] (0.9889624724061811 448)
[4434, 7062] (0.9602649006622517 435)
[4428, 4432] (0.9514348785871964 431)
[184, 7062] (0.9801324503311258 444)
[4430, 7062] (0.9580573951434879 434)
[180, 4426] (0.9668874172185431 438)
[170, 4432] (0.9514348785871964 431)
[180, 4940] (0.9690949227373068 439)
[184, 4428] (0.977924944812362 443)
[4438, 4940] (0.9801324503311258 444)
[4428, 4940] (0.9690949227373068 439)
[184, 7092] (0.9602649006622517 435)
[180, 4432] (0.9514348785871964 431)
[4428, 4438] (0.9889624724061811 448)
[184, 4438] (0.9889624724061811 448)
[4434, 4438] (0.9690949227373068 439)
[170, 4940] (0.9690949227373068 439)
[4426, 7062] (0.9690949227373068 439)
[184, 4432] (0.9514348785871964 431)
[170, 180] (0.9801324503311258 444)
[170, 4438] (0.9889624724061811 448)
[170, 4434] (0.9580573951434879 434)
[170, 7062] (0.9801324503311258 444)
[170, 184] (0.9801324503311258 444)
[170, 4428] (0.977924944812362 443)
[4426, 4430] (0.9514348785871964 431)
[180, 4438] (0.9889624724061811 448)
[180, 7062] (0.9801324503311258 444)
[180, 4434] (0.9580573951434879 434)
[170, 4430] (0.9558498896247241 433)
[4428, 4430] (0.9624724061810155 436)
[4430, 4438] (0.9668874172185431 438)
[180, 4428] (0.977924944812362 443)
[4428, 4434] (0.9580573951434879 434)
[4438, 7092] (0.9690949227373068 439)
[7062, 7092] (0.9646799116997793 437)
[188, 4438] (0.9580573951434879 434)
[4940, 7092] (0.9514348785871964 431)
[184, 4426] (0.9668874172185431 438)
[4436, 4438] (0.9536423841059603 432)
[4426, 4438] (0.977924944812362 443)
[4428, 7062] (0.9801324503311258 444)
[180, 4430] (0.9558498896247241 433)
[4426, 4428] (0.9757174392935982 442)
[4438, 7062] (0.9911699779249448 449)
[170, 7092] (0.9602649006622517 435)
[4428, 7092] (0.9580573951434879 434)
[4428, 4430, 4438] (0.9624724061810155 436)
[170, 184, 7062] (0.9713024282560706 440)
[184, 4426, 7062] (0.9580573951434879 434)
[170, 4428, 4940] (0.9580573951434879 434)
[170, 4428, 4438] (0.977924944812362 443)
[184, 4428, 7062] (0.9690949227373068 439)
[170, 4428, 7062] (0.9690949227373068 439)
[170, 184, 4438] (0.9801324503311258 444)
[188, 4438, 7062] (0.9514348785871964 431)
[184, 4428, 4438] (0.977924944812362 443)
[170, 184, 4426] (0.9580573951434879 434)
[170, 4426, 4428] (0.9646799116997793 437)
[170, 4426, 4438] (0.9668874172185431 438)
[184, 4434, 4438] (0.9580573951434879 434)
[4428, 4434, 4438] (0.9580573951434879 434)
[170, 4430, 4438] (0.9558498896247241 433)
[4426, 4428, 4940] (0.9558498896247241 433)
[4426, 4428, 7062] (0.9668874172185431 438)
[180, 184, 4430] (0.9558498896247241 433)
[4428, 4940, 7062] (0.9602649006622517 435)
[180, 4438, 7092] (0.9602649006622517 435)
[170, 184, 4428] (0.9690949227373068 439)
[180, 184, 4432] (0.9514348785871964 431)
[170, 184, 4940] (0.9602649006622517 435)
[180, 4428, 4940] (0.9580573951434879 434)
[180, 4432, 4438] (0.9514348785871964 431)
[4438, 4940, 7062] (0.9713024282560706 440)
[180, 4426, 7062] (0.9580573951434879 434)
[170, 180, 184] (0.9801324503311258 444)
[4426, 4438, 4940] (0.9580573951434879 434)
[184, 4438, 7062] (0.9801324503311258 444)
[170, 4438, 7092] (0.9602649006622517 435)
[170, 180, 4428] (0.9690949227373068 439)
[170, 180, 4438] (0.9801324503311258 444)
[180, 7062, 7092] (0.9558498896247241 433)
[180, 4426, 4428] (0.9646799116997793 437)
[4432, 4438, 7062] (0.9536423841059603 432)
[180, 4438, 4940] (0.9690949227373068 439)
[180, 184, 4940] (0.9690949227373068 439)
[170, 4940, 7062] (0.9602649006622517 435)
[180, 4428, 7062] (0.9690949227373068 439)
[180, 4430, 4438] (0.9558498896247241 433)
[184, 4940, 7062] (0.9602649006622517 435)
[4428, 4438, 4940] (0.9690949227373068 439)
[170, 180, 4426] (0.9580573951434879 434)
[170, 4426, 7062] (0.9580573951434879 434)
[180, 4428, 4438] (0.977924944812362 443)
[184, 4438, 4940] (0.9690949227373068 439)
[170, 4432, 4438] (0.9514348785871964 431)
[184, 4426, 4428] (0.9646799116997793 437)
[4426, 4438, 7062] (0.9690949227373068 439)
[4438, 7062, 7092] (0.9646799116997793 437)
[184, 4426, 4438] (0.9668874172185431 438)
[4426, 4428, 4438] (0.9757174392935982 442)
[4438, 4940, 7092] (0.9514348785871964 431)
[180, 184, 4438] (0.9889624724061811 448)
[180, 4940, 7062] (0.9602649006622517 435)
[4428, 4432, 4438] (0.9514348785871964 431)
[170, 7062, 7092] (0.9558498896247241 433)
[184, 7062, 7092] (0.9558498896247241 433)
[4426, 4430, 4438] (0.9514348785871964 431)
[180, 4438, 7062] (0.9801324503311258 444)
[184, 4428, 4430] (0.9514348785871964 431)
[4428, 4438, 7092] (0.9580573951434879 434)
[170, 180, 4940] (0.9602649006622517 435)
[170, 4438, 4940] (0.9690949227373068 439)
[184, 4432, 4438] (0.9514348785871964 431)
[170, 184, 7092] (0.9514348785871964 431)
[180, 4428, 4430] (0.9514348785871964 431)
[4428, 4430, 7062] (0.9536423841059603 432)
[180, 4426, 4438] (0.9668874172185431 438)
[184, 4438, 7092] (0.9602649006622517 435)
[184, 4430, 4438] (0.9558498896247241 433)
[184, 4428, 4940] (0.9580573951434879 434)
[180, 184, 7062] (0.9801324503311258 444)
[4428, 4438, 7062] (0.9801324503311258 444)
[170, 4434, 4438] (0.9580573951434879 434)
[180, 184, 4428] (0.977924944812362 443)
[4428, 7062, 7092] (0.9536423841059603 432)
[170, 180, 7092] (0.9514348785871964 431)
[4434, 4438, 7062] (0.9602649006622517 435)
[170, 180, 7062] (0.9713024282560706 440)
[180, 184, 4434] (0.9580573951434879 434)
[170, 4438, 7062] (0.9801324503311258 444)
[180, 184, 7092] (0.9602649006622517 435)
[4430, 4438, 7062] (0.9580573951434879 434)
[180, 4434, 4438] (0.9580573951434879 434)
[180, 184, 4426] (0.9668874172185431 438)
[170, 4428, 4430] (0.9514348785871964 431)
[170, 184, 4940, 7062] (0.9514348785871964 431)
[180, 184, 4428, 4438] (0.977924944812362 443)
[180, 4438, 7062, 7092] (0.9558498896247241 433)
[180, 184, 4432, 4438] (0.9514348785871964 431)
[170, 184, 4438, 4940] (0.9602649006622517 435)
[180, 184, 4434, 4438] (0.9580573951434879 434)
[170, 180, 184, 4426] (0.9580573951434879 434)
[180, 184, 4438, 7092] (0.9602649006622517 435)
[4426, 4428, 4438, 4940] (0.9558498896247241 433)
[184, 4426, 4428, 4438] (0.9646799116997793 437)
[170, 4426, 4428, 4438] (0.9646799116997793 437)
[170, 180, 184, 7092] (0.9514348785871964 431)
[170, 180, 4426, 4428] (0.9558498896247241 433)
[4426, 4428, 4438, 7062] (0.9668874172185431 438)
[170, 4428, 4430, 4438] (0.9514348785871964 431)
[170, 180, 184, 4438] (0.9801324503311258 444)
[170, 184, 4428, 7062] (0.9602649006622517 435)
[180, 184, 4426, 4438] (0.9668874172185431 438)
[170, 4426, 4438, 7062] (0.9580573951434879 434)
[170, 4438, 7062, 7092] (0.9558498896247241 433)
[180, 184, 4426, 7062] (0.9580573951434879 434)
[4428, 4438, 7062, 7092] (0.9536423841059603 432)
[170, 184, 4438, 7092] (0.9514348785871964 431)
[180, 4428, 4438, 7062] (0.9690949227373068 439)
[180, 184, 4438, 7062] (0.9801324503311258 444)
[180, 184, 4438, 4940] (0.9690949227373068 439)
[180, 184, 4940, 7062] (0.9602649006622517 435)
[180, 184, 4428, 7062] (0.9690949227373068 439)
[170, 4428, 4438, 4940] (0.9580573951434879 434)
[4428, 4438, 4940, 7062] (0.9602649006622517 435)
[180, 4438, 4940, 7062] (0.9602649006622517 435)
[170, 4438, 4940, 7062] (0.9602649006622517 435)
[180, 4426, 4428, 7062] (0.9558498896247241 433)
[170, 180, 4428, 4438] (0.9690949227373068 439)
[184, 4438, 7062, 7092] (0.9558498896247241 433)
[170, 180, 184, 4940] (0.9602649006622517 435)
[170, 184, 4438, 7062] (0.9713024282560706 440)
[170, 4426, 4428, 7062] (0.9558498896247241 433)
[184, 4428, 4430, 4438] (0.9514348785871964 431)
[184, 4426, 4438, 7062] (0.9580573951434879 434)
[170, 180, 4438, 7062] (0.9713024282560706 440)
[180, 184, 4428, 4940] (0.9580573951434879 434)
[184, 4426, 4428, 7062] (0.9558498896247241 433)
[170, 180, 184, 7062] (0.9713024282560706 440)
[170, 184, 4428, 4438] (0.9690949227373068 439)
[180, 4428, 4438, 4940] (0.9580573951434879 434)
[180, 184, 4426, 4428] (0.9646799116997793 437)
[170, 4428, 4438, 7062] (0.9690949227373068 439)
[184, 4428, 4438, 4940] (0.9580573951434879 434)
[4428, 4430, 4438, 7062] (0.9536423841059603 432)
[180, 184, 7062, 7092] (0.9558498896247241 433)
[184, 4428, 4438, 7062] (0.9690949227373068 439)
[180, 184, 4430, 4438] (0.9558498896247241 433)
[180, 4426, 4428, 4438] (0.9646799116997793 437)
[170, 180, 4428, 7062] (0.9602649006622517 435)
[170, 180, 4426, 4438] (0.9580573951434879 434)
[180, 184, 4428, 4430] (0.9514348785871964 431)
[170, 180, 184, 4428] (0.9690949227373068 439)
[184, 4438, 4940, 7062] (0.9602649006622517 435)
[170, 180, 4940, 7062] (0.9514348785871964 431)
[180, 4428, 4430, 4438] (0.9514348785871964 431)
[170, 184, 4426, 4438] (0.9580573951434879 434)
[170, 184, 4426, 4428] (0.9558498896247241 433)
[170, 180, 4438, 7092] (0.9514348785871964 431)
[180, 4426, 4438, 7062] (0.9580573951434879 434)
[170, 180, 4438, 4940] (0.9602649006622517 435)
[180, 184, 4426, 4428, 4438] (0.9646799116997793 437)
[170, 4426, 4428, 4438, 7062] (0.9558498896247241 433)
[180, 184, 4428, 4430, 4438] (0.9514348785871964 431)
[180, 184, 4428, 4438, 4940] (0.9580573951434879 434)
[170, 180, 184, 4438, 7092] (0.9514348785871964 431)
[170, 184, 4438, 4940, 7062] (0.9514348785871964 431)
[170, 180, 4438, 4940, 7062] (0.9514348785871964 431)
[170, 184, 4428, 4438, 7062] (0.9602649006622517 435)
[170, 180, 4428, 4438, 7062] (0.9602649006622517 435)
[170, 180, 184, 4940, 7062] (0.9514348785871964 431)
[180, 184, 4438, 4940, 7062] (0.9602649006622517 435)
[170, 180, 184, 4426, 4428] (0.9558498896247241 433)
[180, 184, 4428, 4438, 7062] (0.9690949227373068 439)
[180, 184, 4426, 4438, 7062] (0.9580573951434879 434)
[170, 180, 184, 4426, 4438] (0.9580573951434879 434)
[170, 180, 184, 4428, 4438] (0.9690949227373068 439)
[170, 180, 184, 4428, 7062] (0.9602649006622517 435)
[170, 180, 4426, 4428, 4438] (0.9558498896247241 433)
[184, 4426, 4428, 4438, 7062] (0.9558498896247241 433)
[180, 184, 4438, 7062, 7092] (0.9558498896247241 433)
[170, 180, 184, 4438, 7062] (0.9713024282560706 440)
[170, 184, 4426, 4428, 4438] (0.9558498896247241 433)
[170, 180, 184, 4438, 4940] (0.9602649006622517 435)
[180, 4426, 4428, 4438, 7062] (0.9558498896247241 433)
[180, 184, 4426, 4428, 7062] (0.9558498896247241 433)
[170, 180, 184, 4438, 4940, 7062] (0.9514348785871964 431)
[180, 184, 4426, 4428, 4438, 7062] (0.9558498896247241 433)
[170, 180, 184, 4426, 4428, 4438] (0.9558498896247241 433)
[170, 180, 184, 4428, 4438, 7062] (0.9602649006622517 435)
