Round,Location,Home.Team,Away.Team,Home.Score,Away.Score
1,MCG,Carlton,Richmond,64,97
1,MCG,Collingwood,Geelong Cats,65,72
1,MCG,Melbourne,Port Adelaide,61,87
1,Adelaide Oval,Adelaide Crows,Hawthorn,55,87
1,Marvel Stadium,Western Bulldogs,Sydney Swans,82,65
1,Gabba,Brisbane Lions,West Coast Eagles,102,58
1,Marvel Stadium,St Kilda,Gold Coast Suns,85,84
1,Sydney Showground Stadium,GWS Giants,Essendon,112,40
1,Optus Stadium,Fremantle,North Melbourne,141,59
2,MCG,Richmond,Collingwood,66,110
2,SCG,Sydney Swans,Adelaide Crows,62,88
2,Marvel Stadium,Essendon,St Kilda,65,76
2,Adelaide Oval,Port Adelaide,Carlton,88,72
2,GMHBA Stadium,Geelong Cats,Melbourne,126,46
2,Optus Stadium,West Coast Eagles,GWS Giants,104,52
2,Marvel Stadium,North Melbourne,Brisbane Lions,87,107
2,MCG,Hawthorn,Western Bulldogs,87,106
2,Metricon Stadium,Gold Coast Suns,Fremantle,61,58
3,Adelaide Oval,Adelaide Crows,Geelong Cats,75,99
3,MCG,Melbourne,Essendon,112,130
3,Marvel Stadium,Carlton,Sydney Swans,74,93
3,Sydney Showground Stadium,GWS Giants,Richmond,125,76
3,Gabba,Brisbane Lions,Port Adelaide,107,90
3,MCG,Collingwood,West Coast Eagles,76,98
3,Marvel Stadium,Western Bulldogs,Gold Coast Suns,68,73
3,MCG,Hawthorn,North Melbourne,87,71
3,Optus Stadium,Fremantle,St Kilda,71,66
4,SCG,Sydney Swans,Melbourne,78,100
4,MCG,Collingwood,Western Bulldogs,78,64
4,GMHBA Stadium,Geelong Cats,GWS Giants,75,79
4,MCG,Essendon,Brisbane Lions,112,65
4,Adelaide Oval,Port Adelaide,Richmond,92,99
4,Marvel Stadium,North Melbourne,Adelaide Crows,71,59
4,Optus Stadium,West Coast Eagles,Fremantle,69,56
4,Metricon Stadium,Gold Coast Suns,Carlton,59,57
4,Marvel Stadium,St Kilda,Hawthorn,74,69
5,Gabba,Brisbane Lions,Collingwood,61,123
5,Marvel Stadium,North Melbourne,Essendon,58,116
5,Optus Stadium,West Coast Eagles,Port Adelaide,53,95
5,UNSW Canberra Oval,GWS Giants,Fremantle,82,106
5,MCG,Melbourne,St Kilda,55,95
5,Marvel Stadium,Richmond,Sydney Swans,89,67
5,Marvel Stadium,Western Bulldogs,Carlton,57,101
5,Adelaide Oval,Adelaide Crows,Gold Coast Suns,119,46
5,MCG,Hawthorn,Geelong Cats,90,113
6,MCG,Richmond,Melbourne,85,42
6,MCG,Essendon,Collingwood,69,73
6,Adelaide Oval,Port Adelaide,North Melbourne,88,72
6,Metricon Stadium,Gold Coast Suns,Brisbane Lions,62,111
6,Marvel Stadium,St Kilda,Adelaide Crows,68,97
6,SCG,Sydney Swans,GWS Giants,79,120
6,Optus Stadium,Fremantle,Western Bulldogs,88,69
6,University of Tasmania Stadium,Hawthorn,Carlton,93,88
6,GMHBA Stadium,Geelong Cats,West Coast Eagles,104,46
7,Marvel Stadium,Collingwood,Port Adelaide,108,69
7,MCG,Melbourne,Hawthorn,79,74
7,UNSW Canberra Oval,GWS Giants,St Kilda,114,70
7,Gabba,Brisbane Lions,Sydney Swans,103,81
7,Marvel Stadium,Western Bulldogs,Richmond,99,52
7,Optus Stadium,West Coast Eagles,Gold Coast Suns,80,57
7,Marvel Stadium,Carlton,North Melbourne,62,120
7,MCG,Geelong Cats,Essendon,86,54
7,Adelaide Oval,Adelaide Crows,Fremantle,51,34
8,SCG,Sydney Swans,Essendon,77,72
8,Mars Stadium,Western Bulldogs,Brisbane Lions,92,76
8,MCG,Carlton,Collingwood,87,106
8,Metricon Stadium,Gold Coast Suns,Melbourne,60,61
8,Marvel Stadium,St Kilda,West Coast Eagles,70,88
8,Adelaide Oval,Port Adelaide,Adelaide Crows,68,88
8,Marvel Stadium,North Melbourne,Geelong Cats,80,104
8,MCG,Hawthorn,GWS Giants,71,38
8,Optus Stadium,Fremantle,Richmond,86,111
9,Optus Stadium,West Coast Eagles,Melbourne,85,69
9,MCG,Collingwood,St Kilda,112,71
9,Gabba,Brisbane Lions,Adelaide Crows,93,92
9,GMHBA Stadium,Geelong Cats,Western Bulldogs,133,89
9,Marvel Stadium,Essendon,Fremantle,60,53
9,Blundstone Arena,North Melbourne,Sydney Swans,72,77
9,Adelaide Oval,Port Adelaide,Gold Coast Suns,89,51
9,MCG,Richmond,Hawthorn,95,59
9,Sydney Showground Stadium,GWS Giants,Carlton,138,45
10,SCG,Sydney Swans,Collingwood,73,80
10,University of Tasmania Stadium,Hawthorn,Port Adelaide,80,49
10,Marvel Stadium,Western Bulldogs,North Melbourne,90,115
10,Adelaide Oval,Adelaide Crows,West Coast Eagles,73,85
10,Metricon Stadium,Gold Coast Suns,Geelong Cats,64,91
10,MCG,Richmond,Essendon,73,50
10,MCG,Melbourne,GWS Giants,68,94
10,Marvel Stadium,St Kilda,Carlton,68,55
10,Optus Stadium,Fremantle,Brisbane Lions,73,72
11,Marvel Stadium,North Melbourne,Richmond,99,62
11,MCG,Collingwood,Fremantle,75,79
11,Sydney Showground Stadium,GWS Giants,Gold Coast Suns,126,43
11,GMHBA Stadium,Geelong Cats,Sydney Swans,85,63
11,Gabba,Brisbane Lions,Hawthorn,85,66
11,TIO Stadium,Melbourne,Adelaide Crows,88,90
11,Adelaide Arena at Jiangwan Stadium,St Kilda,Port Adelaide,69,139
11,MCG,Essendon,Carlton,74,33
11,Optus Stadium,West Coast Eagles,Western Bulldogs,133,72
12,MCG,Richmond,Geelong Cats,37,104
12,Marvel Stadium,Carlton,Brisbane Lions,78,63
12,Metricon Stadium,Gold Coast Suns,North Melbourne,72,99
12,Adelaide Oval,Adelaide Crows,GWS Giants,82,61
12,SCG,Sydney Swans,West Coast Eagles,116,71
12,MCG,Collingwood,Melbourne,98,57
13,Adelaide Oval,Adelaide Crows,Richmond,101,68
13,Marvel Stadium,Essendon,Hawthorn,96,77
13,Riverway Stadium,Gold Coast Suns,St Kilda,76,80
13,Optus Stadium,Fremantle,Port Adelaide,100,79
13,Marvel Stadium,Carlton,Western Bulldogs,100,103
13,Blundstone Arena,North Melbourne,GWS Giants,68,91
